Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","That well-fought war was the work because... On the other side, Aiaces was a brave and skilled knight from France, to an extreme degree, but he wasn't full of great wisdom."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","""Be cruel and take revenge on all wrongdoing, as the law dictates, and pardon no knight who has sinned.""

(Note: ""cavaliere"" in this context refers to a noble or aristocratic individual.)"
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","""Ponzio Aufidiano, a Roman knight, was distinguished by his unyielding spirit."""
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","""If everyone likes this and if time needs someone like Pompey to be a knight and not a companion, I won't think about fate anymore."""
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","The sentence means:

""It appears to be a matter of this art is to say something to make people believe, and the goal is to make them believe by saying it."""
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Here's the translation:

It looks like huge storms gather thick fog; and you might think that the whole sky was falling into the sea."
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","""However, who would still hope that those who don't want to believe in Christ yet are already seeing it with us, and because they can't deny it, they're gnashing their teeth."""
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,"""The corruption of a ruthless king was caused by both the greed of the dead and the pressures of the living."""
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","""So that he, who is now ferocious and honorable due to his past great mistakes, may be relieved of every evil affliction and tormented by the impiousness towards my father."""
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,People often find the truth when they stop being stubborn about their lies.
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Markus Cornelius, who was one of the ten companions, deliberately decided to speak last."
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,"""I knew that they were made in Italy."""
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"His great-nephew, Corbio, led his life in a lower and more debauched way."
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Even an admirer calling for mercy from his lady says many words and reasons, and she defends herself in her own way."
