Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra è stata ben fatta perché, e dall'altra parte, Aiace era un cavaliere francese e valoroso nell'arme, di grandi dimensioni, ma non era pieno di grande saggezza.

Translation: That war was well made for and on the other side, Aiace was a French knight and valorous in arms, of great size, but he wasn't full of great wisdom."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudeli, e di tutti gli errori prende la rivincita, come dice la legge, e ad un nessun cavaliere perdonare chi colpeggia. (This sentence has been adapted to modern Italian)"
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non fu adornato da alcuna forza dell'animo Ponzio Aufidiano, romano cavaliere. (In modern Italian)"
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se il tempo ha bisogno di Pompeo come cavaliere e non come compagno, non lo ritornerò più a casa. (In modern Italian, 'fati' has been replaced with 'casa')"
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Funzione di questa arte sembra essere espressa precisamente per ingannare, scopo è ingannare tramite le parole. (Approximately)

Translation note: The original text uses an archaic term ""appostatamente"", which means precisely or accurately, but in modern Italian we would use the term ""espressamente"" instead. Additionally, ""lo dire"" is replaced with ""le parole"" for a more natural modern usage."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Qui ci sono grandi ventiquattrenne nuvole che scendono dalla fitta nebbia; e puoi credere che l'intero cielo stia cadendo nell'acqua

This translates to ""Here there are large twenty-four-clouds that come down from the thick fog; and you could believe that the whole sky is falling into the water"" in modern Italian."
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Ma chi spererebbe ciò che anche coloro che ancora non credevano in Cristo lo vedevano già con noi, ora non può negarlo, urlano con gli denti.

Translation: But who would hope for that which even those who still did not believe in Christ were already seeing with us, now cannot deny it, they scream with their teeth."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,"I vendimenti dei morti e la pressione dei vivi fecero nascere una froda ferocissima di un re crudele. (literally: ""The harvests of the dead and the pressure of the living gave birth to a cruel king's most ferocious fraud."")

Or more idiomatically in modern Italian:
I morti e la pressione dei vivi hanno fatto nascondere una froda di un crudele re. (literally: ""The dead and the pressure of the living made something hide a cruel king's fraud."")"
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Affinché quello, che ora per le sue grandi reati è fiero e onorevole, egli soffre di ogni male a causa dell'impietà verso il mio padre.

In modern Italian the verb ""acciocché"" is replaced with ""affinché"", and archaic forms like ""per le sue gran reità"" (for his great deeds) are replaced with the more common ""per le sue grandi reati"" (for his great crimes). Also, ""egli d'ogni male afflitto e tormentato"" can be simply translated as ""egli soffre di ogni male a causa"", meaning he suffers from every ill because."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"gli uomini spesso stanno fermi nella bugia incontrano sempre la verità. (literally: men often stand still in the lie encounter always the truth)

This is a modernized version of your archaic Italian sentence, reflecting contemporary usage and grammar."
