Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra è stata bene condotta, l'operazione perché così era necessario. E dall'altra parte, Achille era un cavaliere francese e valente in armi, di gran carisma, ma non possedeva molta saggezza

Translation: That war was well conducted, the operation because it was necessary. And on the other side, Achilles was a French knight and skillful in arms, charismatic, but not very wise."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudeli, e per ogni colpa ricercare la vendetta, come stabilisce la legge, non perdonerà ad alcun cavalieri colpevole. (Cruel, and for every crime seeking revenge, as established by law, will not forgive any knight guilty.)"
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Ponzio Aufidiano non fu abbigliato di alcuna forza d'animo, ovvero era un romano cavaliere. (Ponzio Aufidiano was not dressed with any strength of mind, or he was a Roman knight.)"
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se il tempo richiede Pompeio come cavaliere e non come compagno, non lo vedo più come un fato.
(In modern Italian)"
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","L'officio di questa arte sembra essere quello di dire appositamente per far credere, il suo scopo è far credere con le parole. (Translation: The function of this art appears to be saying things specifically to make one believe, its purpose is to make one believe through words.)"
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Ecco che i ventiquattrenove turbinoni emergono dalla densa nebbia; e puoi far pensare che l'intero cielo stia cadendo nell'acqua. (Here are the wide twenty-four whirlwinds emerging from the dense fog, and it seems as if all of the sky is falling into the sea.)"
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Ma chi desidera ciò che anche questi che non credono ancora in Cristo possano vedere, lo vede già con noi e per questo non possono negarlo, urlano con i denti. (Modern Italian)

Translation: But whoever desires that which even these who do not yet believe in Christ can see, already sees it with us, and for this reason cannot deny it, they shout with their teeth."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,La raccolta dei morti e le pressioni dei vivi causarono una frode di un crudele re. (The gathering of the dead and the pressures of the living caused a fraud by a cruel king.)
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Perché quello che ora a causa delle sue grandi virtù è fiero e onorevole, è afflitto e tormentato per la sua impietade verso mio padre. (This is because he, who now due to his great virtues is fierce and honorable, is afflicted and tormented by his cruelty towards my father.)"
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Le persone spesso che si tengono immobili nella menzogna incontrano la verità. (Modern Italian translation)
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, che era uno dei dieci compagni, si rese necessario parlare all'ultimo.
(Marco Cornelio, who was one of the ten companions, made it necessary to speak last.)"
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,"Le cose che io conoscevo che erano fatte in Italia.

Translation: The things that I knew were made in Italy."
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Il nipote di Corbo ha condotto una vita più bassa e più corrotta

Translation: The grandson of Corbo lived a lower and more corrupt life."
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Invece, un amante chiamandolo pietà verso la sua donna, le dice tante parole ed argomentazioni, e lei difende se stessa nella sua risposta."
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Ricordo di averla fischiata, poiché ero arrabbiato. Oh, quanti giorni questa rabbia mi ha fatto soffrire!

Translation: I remember I scolded her because I was angry. Oh, how many days this anger made me suffer!"
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,Il colui di cui ti soliti piangere era l'amante della tua donna. (The one whom you used to mourn was the lover of your woman.)
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma nessuno sapeva ancora i nomi delle persone della congiura, perché la donna non aveva ancora rivelato i nomi. (Modern Italian)

Translation: No one knew yet the names of the people involved in the conspiracy, because the woman had not yet revealed the names."
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Credi? Sicuramente quando egli si muove, gli dirà: ""Oh mia cara signora, assicura che in mio posto ti sia lasciata la nostra ospite troiana."""
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano è stata repressa la malevolenza di una donna, in uno stratagemma simile alla bugia, allo stesso tempo di questo signore della repubblica, in questa maniera:

In modern Italian: The wickedness of a woman was suppressed by means similar to deceit, at the same time as this lord of the republic, in this way:"
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","Essi lamentavano l'iniquità di Appio e commiseravano il male che aveva colpito la bella ragazza e la precarietà del suo padre.

Translation in English:
They were lamenting the injustice of Appio and expressing sympathy for the misfortune that had befallen the girl and the predicament of her father."
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","In quella battaglia, certamente ho sempre avuto coraggio di parlare della pace e sempre mi sono lamentato che non solo era schernita.

Translation: In that battle, certainly I always had courage to talk about peace and I always complained that it wasn't only ridiculed."
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda può talvolta causare paura a causa della sua grande potenza, mentre la prima può renderlo pazzo agli altri a causa del suo ardore. (Modern Italian)

In this sentence, 'la seconda' and 'la prima' refer to two different entities or actions; 'suole' means 'takes place', 'talora' means 'occasionally', 'per' means 'because of', 'grande provedenzia' means 'great power', 'fare timoroso' means 'causes fear', 'e' means 'and', 'la prima' refers to another action, 'l'ardire' means 'daringness', and 'rendere altrui matto' means 'makes others crazy'."
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,"Andai nel campo dei Cartaginesi e tutta la legione mi seguì.

Translation: I went to the Carthaginian camp and the entire legion followed me."
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.","Egli non voleva riconoscerlo come nemico. Questa era quella che gli diede coraggio al profeta Natan per criticare duramente quel re, il quale aveva peccato.

Translation: He did not want to recognize him as an enemy. This was the one who gave courage to the prophet Nathan for strongly reprimanding that king, who had sinned."
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","Le armi passano attraverso i nemici, pertanto chi non ha coraggio di questo non può avere questa mente. (Modern Italian)

Translation: The weapons move among the enemies, therefore one who does not have courage for this cannot have such a mind."
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,Perciocché in ragione piena lo si intende come sofferente; (Because in full reason it is understood as suffering)
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","Quello che è più generoso nei confronti degli abitanti ed a cui potete più affidare la fiducia, poiché egli è stato il vostro comandante. (Translation: He who is most generous towards the citizens and to whom you can trust more, since he was your commander.)"
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","Chi ha scritto questo libro non è chiaro, ma devi considerare che potrebbe essere stato scritto dal Spirito Santo. (Who wrote this book is not clear, but you should consider that it could have been written by the Holy Spirit.)"
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non fosse comune, sarebbe certo molto più incredibile: certamente più facilmente si può credere ciò, poiché lo spirito umano è tendente al divino e il mutabile all'immutabile.

Translation: If it weren't common, it would certainly be much more incredible; indeed, it can be easily believed, because the human spirit is inclined towards the divine and the mutable towards the immutable."
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,"Essi avrebbero ricevuto la loro stipendio dal camerlengo per le spese e subito si sarebbero recati alla presenza del signor papa per contraddire il passaggio dei cavalieri che provenivano da Cecilia in Toscana.

Translation: They would receive their payment from the camerlengo for expenses and immediately go to the presence of the lord pope to counter the passage of knights who came from Cecilia in Tuscany."
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","Teseo guardò Achille con stupore e disse: ""Signor Achille, mi prego di raccontarmi come hai perso""

Translation: Teseo looked at Achilles with astonishment and said: ""Sir Achilles, would you please tell me how you lost?"""
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Spero di ricevere presto Timoteo da parte di Gesù, affinché io possa rimanere tranquillo

Translation: I hope to receive Timoteo soon from Jesus, so that I can remain calm/peaceful."
