Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra fu bene condotta, ma l'operazione aveva il suo scopo, e da un altro lato, Aiaces era un cavaliere francese valoroso nell'arme, di grandissima abilità, ma non era pieno di grande saggezza."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudele, e si vendica di tutte le colpe come la legge prevede, e non perdonerà a nessun cavaliere colpevole."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Ponzio Aufidiano non era dotato di altro vigore d'animo, romano cavalier. (lit. ""Ponzio Aufidiano was not endowed with other strength of spirit, Roman knight"")"
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se il tempo richiede avere Pompeio come cavaliere, altrimenti non lo considererò più degno."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","L'officio di questa arte sembra essere quello di esprimersi appositamente per ingannare, l'obiettivo è ingannare con le parole."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,Ecco e larghe ventitrecentoventisette nuvole scendono dalle resolute nebbie; e potrebbe sembrare che tutto il cielo stia cadendo nell'acqua.
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Poiché or chi spera quello che anche questi che non credevano ancora in Cristo, lo vedono con noi, e perché non ci potrebbero negare, urlano con i denti. (Translation: Perché coloro che sperano ciò che anche questi che non credevano ancora in Cristo lo vedono con noi, e per cui non ci possono negare, urlano con i denti.)"
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,"I vendite dei morti e le pressioni dei vivi causarono l'inganno di un re crudele. (or ""I vendette dei morti e le pressioni dei vivi fecero l'inganno di un re crudele"")"
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Affinché quel che ora per le sue grandi ingiustizie è ferocio e onorevole, esso è afflitto e tormentato dal crudeltà verso mio padre. (I've kept the archaic construction for ""affinché"", which is still used in some dialects and formal contexts.)"
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini spesso incontrano la verità rimanendo stabilmente nella menzogna. (The men often encounter truth while remaining steadily in lies.)
