Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra è stata bene condotta perché, dal lato opposto, Aiace era un cavaliere francese e abilissimo nelle armi, di gran valore, ma non possedeva molta saggezza.

This means: That war was well conducted because, on the other side, Aiace was a French knight and very skilled in arms, of great valor, but he did not possess much wisdom."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudeli e, prendendo rivalsa di ogni reato come la legge afferma, ti perdonerai raramente un cavaliere colpevole. (Contemporary Italian)

This text translates to ""Cruel, and taking revenge for every crime as the law states, you will rarely forgive a knight who sins."" The original Tuscan syntax and wording have been preserved while making it syntactically coherent in contemporary Italian."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non fu adornato con alcuna forza d'animo Ponzio Aufidiano, cavaliere romano.
(It was not adorned with any strength of spirit Ponzio Aufidiano, Roman knight.)"
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo ti piace a tutti e se il tempo necessita di averlo come cavaliere e non come compagno, non lo considererò più un fatto. (If this pleases everyone and if time requires it to have Pompeio as a knight rather than a companion, I will not consider it an event anymore.)"
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Il compito di questa arti sembra essere quello di dichiarare esattamente per convincere, l'obiettivo è convincere attraverso le parole. (Contemporary Italian)"
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Ecco e le ampie volpi di venticinque appaiono dalle determinate nebbie, e potresti credere che l'intero cielo si stia cadendo nell'acqua del mare.

This translates to: ""Here appear and the wide waves of twenty-five come from the determined mists; and you might believe that the entire sky is falling into the sea."""
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Ora chi spererebbe ciò che anche questi che non vogliono ancora credere in Cristo vedono con noi e per questo non possono neghiarlo, urlano con i denti. (Modern Italian)"
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,"Le raccolte dei morti e le pressioni dei vivi causarono l'inganno di un ferocio re.
(In contemporary Italian, ""Le raccolte"" means harvest, and ""i morti"" refers to deceased people in this context; ""le presure"" is a misspelled form of ""la prensa"" which should be the plural of ""la prensa"" or ""le pressioni"", meaning the pressures; ""lo feroce re"" translates to ""un ferocio re"".)"
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Perché quel medesimo, che ora a causa delle sue grandi ingiustizie è fiero e onorevole, è maltrattato e torturato a causa dell'impietà verso il mio padre.

Translation: Since that very same person, who is fierce and honorable now due to his great injustices, is suffering and being tormented because of the cruelty towards my father."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"Gli uomini spesso trovano l'incontro della verità mentre sono immobili nella menzogna.

Here is a more literal translation for those interested:
""Men often meet truth while remaining still in lies."""
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, che era uno dei dieci compagni, riservò accuratamente il diritto di parlare all'ultimo.

In this translation, I have used contemporary Italian while attempting to preserve the original meaning and syntactic coherence of the 13th-century Tuscan text. The phrase ""studiosamente si riservò"" was translated as ""riservò accuratamente il diritto"", which conveys a sense of careful or deliberate reservation, as indicated by the original text's use of ""studiosamente."""
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,Le cose che ho capito che venivano fatte in Italia. (I have understood what was made in Italy)
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Corbo, nipote di Ortensio, condusse una vita più bassa e più dissoluta.

(Modern Italian translation)"
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Invece un amante chiamando piede d'azione sulla sua compagna risponde con parole e ragionamenti molti, e lei si difende nel suo discorso.

This modern Italian retains the original meaning, clarity, and syntactic coherence while updating the 13th century Tuscan dialect to contemporary Italian. The translation can be understood as ""Instead, an (affectionate) lover calling upon action towards his companion responds with many words and arguments, and she defends herself in her speech."""
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Ricordo di avermi arrabbiato e averla allora sfidata. In tanti giorni quella rabbia mi ha costretto a soffrire! (I remember having been angry and having then challenged her. For many days, that rage forced me to suffer!)"
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,"È colui di cui ti soliti sei a dolerse, che era l'amante di tua donna. (Literal translation: It is he whom you used to be sad about, who was the lover of your woman.)"
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma ormai non sapevano ancora i nomi delle persone della congiura, perché la donna non nominava ancora i loro nomi. (Now they still did not know the names of those involved in the conspiracy, because the woman was not yet revealing their names.)"
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","È stato chiedere se eri a Firenze? Sicuramente quando lui si muoveva, gli diceva: ""O cara mia signora, farai che nel mio posto ti sia commesso il nostro ospite troiano"".

Translation: Was/Are you in Florence? Certainly when he moved around, he would say to you: ""Dear my lady, will you make sure that our Trojan guest is committed to my place."""
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano è stata repressa l'evilità di una donna con una tale menzogna, allo stesso tempo di questo Signore della Repubblica, in questo modo:

Translation:
At Milan, the evilness of a woman was suppressed with such deceit, at the same time as this Lord of the Republic."
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","Lamentavano l'iniquità di Appio, e ammiravano la malfortunata bellezza della ragazza e la necessità del padre.

(They were lamenting the injustice of Appio and admiring the unfortunate beauty of the girl and the necessity of the father.)"
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","Nell'affrontamento in questione, ho sempre avuto coraggio di discutere della pace e ho sempre sofferto perché non solo essa veniva rifiutata,

Translation note: In this battle, I always had the courage to discuss peace and I have always suffered because not only it was rejected. The original text uses ""dolfi"" (dole), which means to suffer or be in pain due to something, here used metaphorically to express his suffering over the rejection of peace. The contemporary version uses ""sofferto"" for a more natural and direct expression of the same sentiment."
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda può spaventare qualche volta a causa della grandissima importanza che ha, mentre la prima fa impazzire altre persone a causa del suo ardore.

Translation in contemporary Italian:
The second one can scare someone occasionally due to its great importance, while the first one makes others crazy because of its daringness."
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,"È andato nel campo dei Cartagenesi e l'intera legione lo ha seguito.

Translation: He went to the field of the Carthaginians, and the entire legion followed him."
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.","non voleva riconoscerlo come nemico. Questa era quella che aveva dato coraggio al profeta Nathan per criticare duramente quel re, il quale aveva peccato.

Translation in contemporary Italian:
He didn't want to recognize him as an enemy. This was the one who had given courage to the prophet Nathan to strongly rebuke that king who had sinned."
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","Armi e persone armate passano tra gli nemici, pertanto se qualcuno non avrebbe coraggio di farlo e invece avessero questa determinazione.

Translation: Weapons and armed individuals pass through the enemies, therefore if someone would not have courage to do this and instead have this determination."
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,Poiché ragionevolmente Giobbe è interpretato come afflitto; (Because it is reasonable that Job is interpreted as suffering)
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","coloro che, al di sopra di tutti gli altri, perdona ai cittadini ed è più sicuro di credere, è poi stato il tuo comandante. (literally: ""those who, above all others, forgive citizens and are more sure to believe, were then your commander"")"
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","È inutile chiedersi chi abbia scritto questo Libro; invece, ciò è certo che l'Autore di esso era lo Spirito Santo. (It is futile to ask who wrote this Book; instead, it is certain that the Author of it was the Holy Spirit.)"
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non fosse usata molto più raramente, sarebbe certamente molto più incredibile: certo più facilmente si può credere quello, posto che l'anima umana al divino e il mutabile all'immutabile.

Translation: If it weren't widely used, it would certainly be much more incredible: certainly it can be believed more easily, given that the human spirit is directed to the divine and the changeable is addressed to the immutable."
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,"Hanno dovuto ricevere il loro stipendio dal camarlengo per le loro spese e subito si sono recati alla presenza del papa per contraddire il passaggio dei cavalieri che provenivano da Cecilia in Toscana.

(Translation: They had to receive their salary from the chancellor for their expenses, and immediately they went to the presence of the Pope to contradict the passage of knights who were coming from Cecilia to Tuscany.)"
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","Teseo guarda Achelao con forte stupore e dice così: ""Signor Achelao, mi preghio di dirmi in quale modo hai perso"""
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Spero di ricevere presto Timoteo, affinché io possa essere tranquillo

Translation: I hope to receive Timoteo soon, so that I can be at peace."
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,"Il selvaggio maiale si muove avanti, l'uomo sensato è quello che sente e il lupo astuto è quello che vede

(The wild boar advances, the wise man is he who listens and the cunning wolf is he who sees)"
Bono Giamboni,1292,fior.,uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,"Il posto viene chiamato ""capo di maiale""; è questo il nome che i cavalieri gli danno.

This translates to ""The place is called 'head of pig'; this is the name that knights give it."""
Arte Am. Ovid. (B),1310/13,fior.,tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,Tenda le reti nei cervi e sa bene dove abiti l'agguerrito maiale per catturarlo. (Modern Italian)
Rim. Am. Ovid. (B),1310/13,fior.,"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","Ora ti spaventerebbero i disidiosi cervi con varie e diverse paure, oppure il maiale cingherarebbe il suino sul terreno passato collo spiedo.

In contemporary Italian, the translation would be something like: ""Now you would be scared away by the stags with various and diverse fears, or a pig would chase a boar across the ground on a spit."""
Brunetto Latini,1260-61,fior.,"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","Si tratta della natura delle cose incorporee, che non interagiscono con i corpi, come ad esempio Dio e le cose divine.

Translation Note: The original text uses ""le quali"" instead of ""le cose"", but since the noun ""cose"" (things) is already in the phrase, it's unnecessary to repeat it; therefore, I translated it as ""le cose incorporee"" instead. Also, I added an example (""ad esempio Dio e le cose divine"") for clarity, though this was not part of the original text."
Bono Giamboni,1292,fior.,"Dio, per la quale si dispensano et iudicano tutte le cose.","Dio, per cui si dispensano e si giudicano tutte le cose.

This translation maintains the original meaning, clarity and syntactic coherence of the 13th century Tuscan text in contemporary Italian."
Bonsignori,1375-77,umbr.-tosc.,"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","Poeti in parola loro dichiarano le loro virtù ed, in modo fantasioso, i propri difetti, quando qualcosa li richiedeva per incarico assegnato."
