Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra è stata bene combattuta l'opera perché (ecc.) E dall'altra parte Achille era un cavaliere franco e valente in armi, di grande statura, ma non era pieno di gran senso"
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","È crudele e prende vendetta per ogni colpa, come dice la legge, ed è difficile perdonare a qualsiasi cavaliere che sbaglia. (In modern Italian)

This translation retains the archaic feel of the original sentence while making it accessible in contemporary Italian language."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Ponzio Aufidiano non fu abbellito da alcuna forza d'animo, essere romano cavaliere.
(In modern Italian: Ponzio Aufidiano non è stato arricchito da alcuna forza d'animo, essendo romano cavalier.)

Translation: Ponzio Aufidiano was not enriched by any force of spirit, being a Roman knight."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se tutti lo trovano gradevole e se il tempo necessita di avere Pompeio come cavaliere, al posto del compagno, non lo ritennero più dei fatti. (In modern Italian)"
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Sembra che la funzione di questa arte consista nel dire esattamente per ingannare, l'obiettivo finale è ingannare con le parole. (Modern Italian)"
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Questo è grande ed ampio ventiquattresimo vento che soffia da sotto le nebbie determinate, e puoi credere che l'intero cielo stia precipitando nell'acqua del mare. (This is large and wide 24th wind blowing from under determined fogs, and you can believe that the entire sky is falling into the water of the sea.)"
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Quelli che ancora non credevano in Cristo, vedevano già noi, e ora non potevano più negarlo, gridavano contro di noi con grande ira. (Modern Italian)"
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,"Le vendite dei morti e la pressione dei vivi ha portato allo scandalo di un crudele re.

This modern Italian translation means: The sales of the dead and the pressure of the living caused the scandal of a cruel king."
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Perché quel giovane, che ora a causa delle sue grandi ingiustizie è fiero e onorevole, soffre di ogni malaffortuna a causa dell'impiegata crudeltà verso mio padre.

In modern Italian:
Perché quel giovane, che ora a causa delle sue grandi ingiustizie è orgoglioso e onorevole, soffre di ogni malafortuna a causa dell'impiegata crudeltà verso mio padre."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"Gli uomini spesso trovano di essere fermi nella bugia incontrano la verità. (Literally: Men often find themselves staying still in the lie encounter the truth)
Modern Italian: Gli uomini spesso finiscono per trovarsi bloccati a mentire, incontrano poi la verità. (Literally: Men often end up finding themselves stuck lying, then they meet the truth)"
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, che era tra i dieci compagni, abitualmente si riservava di parlare all'ultimo. (Modern Italian)"
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,Le cose che io conoscevo essere fatte in Italia. (Modern Italian)
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Il nipote di Corbio condusse una vita più bassa e più deboccia da quella di Ortensio
(In modern Italian, this would be ""Il nipote di Corbio condusse una vita più bassa e più dissoluta rispetto a Ortensio"")"
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","In modern Italian, the sentence translates to: ""In addition, a lover calling for mercy from his woman says many words, and she defends herself in her response."""
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!",Io mi ricordo di averla arrabbiata e averla lasciata per un po'! (I remember I made her angry and left her for a while!)
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,"È lui del quale ti solenzialmente infrangesti il cuore, poiché era l'amante della tua donna.

The modern Italian translation of your provided old Italian sentence is: ""It was he whom you used to break your heart because he was the lover of your woman."""
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Non sapevano ancora i nomi delle persone della congiura, perché la donna non li aveva ancora rivelati. (Modern Italian)"
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","""Saresti andata a raccomandare il nostro ospite troiano al suo posto?"" (Would you go to recommend our Trojan guest at his place?)"
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","La malvagità di quella donna è stata repressa con un'analoga menzogna, in quel periodo dello stesso signore della repubblica, in quest' modo:
""The wickedness of that woman was suppressed with an equivalent lie, during the same period of that master of the republic, in this way."""
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.",Piangono per l'iniquità di Appio e si commuovono per la sorte infelice della ragazza e la necessità del padre. (lit. translate: They mourn for the injustice of Appius and they are moved by the unfortunate fate of the girl and the necessity of the father)
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","Nella quale battaglia, certamente io ho sempre avuto coraggio di parlare di pace e sempre mi sentivo frustrato perché non solo la pace era rifiutata,

Translation: In which battle, certainly I always had the courage to speak of peace and always felt frustrated because not only peace was rejected."
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda può talvolta essere timorosa a causa della sua grande importanza, e la prima può renderlo pazzo altrui a causa del suo coraggio. (Literally: The second one can sometimes be fearful due to its great importance, and the first one can make someone crazy because of its bravery.)"
