Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","La guerra fu condotta bene ed l'opera fu compiuta come previsto. E dall'altra parte, Aiaces era un cavaliere franco e prodotto nell'arte delle armi, di grande valore ma non privo di senso grande. (Translation in Modern Italian)"
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudele, è colpevole di tutto e ricava vendetta come lo stabilita la legge, ed a nessun cavaliere perdoni un peccato commesso. (Translation)"
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","""Ponzio Aufidiano, romano cavaliere, non aveva another force of animation to be adorned."" 

Translation: ""Ponzio Aufidiano, cavaliere romano, non possedeva altra forza d'anima da ornare."""
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se 'l tempo ha bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.

Translation: ""If this pleases everyone and if time requires having Pompeio as a knight and not as a companion, I will no longer cling to the past."""
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","L'ufficio di questa arte sembra consistere nel dire appostatamente con lo scopo di far credere qualcosa, ed infine il fine è far credere ciò che si dice. 

Translation: 
L'ufficio di questa arte pare concentrarsi nel dire appositamente, con l'obiettivo di far credere qualcosa, e al fin, l'obiettivo è fare crederci ciò che diciamo."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Modern Italian: «Ecco, veloci venti portavano strane nuvole di coraggio, come le f雾雾； ed potresti pensare che tutto lo stellato fosse caduto nel mare.»"
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Ma poiché oggi chiunque sperasse ciò che poco a poco sta sconvolgendo coloro che ancora non vogliono credere in Cristo, già lo vedono con noi e per quanto mai non possano negarlo, stridono con i denti."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,"Le vendimenti di morti e lo stress dei vivi diede origine alla frode di un re feroce. 

Translated sentence: ""The sales of the dead and the pressure from the living gave rise to the fraud of a fierce king."""
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Perché quel individuo, al cui rango attuale grazie alle sue grandissime forze è feroce ed onorabile, egli sofferenza e subisce tormenti per ogni male che gli colpisce a causa dell'impietà verso mio padre. (Translation)"
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"Gli uomini, spesso rimasti immobili in una menzogna, incontrano la verità. 

Translation: Gli uomini, spesso immobili in una falso racconto, avventuratisi incontrano la verità."
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","MarcoCornelio, uno dei dicioppiangenti, decise con studio di non parlare finché il momento appropriato non sarebbe arrivato. 

Translation:
MarcoCornelio, uno dei dieci compagni intelligenziali, si riservò con attenzione di non esprimersi finché la opportunità giusta non sarebbe stata disponibile."
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,"«Cose che io sapevo fossero state fatte in Italia.» (Translation: ""Things that I knew were made in Italy."")"
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"""Corbio, nipote di Ortenso, guidò la sua vita con un livello più basco e visionario."""
