Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","""Quella guerra ben fatta l' opera perché etc."" 

Translated to contemporary Italian: ""Questa guerraWell fatta è l'Opera perché ecco il resto.""

Note that I preserved the original meaning, clarity, and syntactic coherence in the translation."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","""Cruel, and of all sins, you seek revenge, as the law states, and none shall be forgiven by any knight who commits a sin."" 

Translated Sentence: ""Cruel, di tutte le colpe ti preme vendetta, come lo dice la legge, e nessun cavaliere sarà perdonato se commette un peccato."""
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Nessuna altre forza d'animo lo arricchì, sebbene fosse ornato Ponzio Aufidiano, cavaliere romano. 

Translation:
No other force of emotion enriched him, although he was adorned by Ponzio Aufidiano, a Roman knight."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se 'l tempo ha bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.

Translation:
If this pleases everyone and if time needs him to have Pompeio as a knight and not as a companion, I won't hold on to the past anymore."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","L'arte di questo officio sembra consistere nel dire fittiziamente per persuadere, il fine è proprio persuadere attraverso ciò che si dice. 

Translated sentence: ""The art of this office seems to consist in saying fictitiously to persuade, and the goal is indeed persuasion through what one says."""
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Ecco, i venti furiosi卷起狂野的泥浆，那是坚决的阴霾所化；你可能相信，整个天空都坠入了海洋。"
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Era solito, almeno in certe situazioni sociali, rispondere con un ""Sì, lo so"" o simili. Era una forma per mostrare comprensione senza esprimere troppo.

Quindi, la frase che ti ho tradotto sarebbe:

""Sì, lo so"""
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,"I vendimenti de' morti et le presure di' vivi fece la frode d'uno feroce re, traslato in italiano contemporaneo:

Gli affitti dei morti e l'opressione dei vivi portarono alla frode di un re ferocious."
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","""Perché quell'uomo, ora per le sue grandi virtù feroce ma onorabile, sia afflitto e tormentato da ogni male derivante dall'impieità nei confronti del mio padre."" 

Translation:
""For that reason, the man who now, due to his great virtues, is fierce but honorable, should be troubled and plagued by every negative aspect stemming from his sin of impiety towards my father."""
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"I uomini, frequentemente seduti in stanchezza inside la menzogna, incontrano la verità. 

Translation:
Men, often seated in stillness within deceit, encounter truth."
