Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","""That war was well done, for it was a great work. And on the other side, Aiaces was a brave and skilled knight, of great strength, but he lacked great wisdom."""
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","'Cruel, and of all the sins takes revenge, as the law says, and to no knight pardons those who sin.'"
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se il tempo ha bisogno di avere Pompeo come cavaliere e non come compagno, non lo considererò più un destino."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","""This old Italian sentence means 'It seems that this art is to say expressly in order to make believe, and it is to make believe for the sake of saying.'"""
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"The sky is falling, and you might think that all of it is falling into the sea."
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","'Ma chi vorrebbe quello che questi non vogliono ancora credere in Cristo, già li vediamo con noi, e perché non possono negarlo, stridono i denti.'"
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,La morte e la pressione dei vivi hanno portato alla truffa di un crudele re.
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","'In modo che lui, il quale ora per le sue grandi virtù è feroce e onorevole, egli d'ogni male afflitto e tormentato dalla impietà verso il mio padre.'"
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"Gli uomini che si trovano spesso in una bugia, incontrano la verità."
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, uno dei dieci compagni, decise di parlare all'ultimo."
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,Le cose che so essere fatte in Italia.
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"""Ortensio's niece led her life more lowly and vicious"""
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","""Another lover, calling mercy to his woman, says many words and reasons, and she defends herself in his speech."""
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Io mi ricordo (ch. 347) che essendo arrabbiato ho lasciato la mia donna. Oh, quanti giorni questa rabbia mi ha tolto!"
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,'He who you know to have loved your woman.'
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","""Non sapevano ancora i numeri dei cospiratori, perché la donna non aveva ancora rivelato i loro nomi."""
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","""Creti? Certo quand'elli si mosse, elli ti dixe: 'O fedele mia donna, fa' che in mio luogo ti sia raccomandato il nostro hoste troiano'"""
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano fu repressa la malvagità di una donna in simile bugia, nel tempo medesimo di questo signore della repubblica, in questo modo:"
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","'Lamentavano dell'ingiustizia di Appio, e si lamentavano della malaventurata bellezza della ragazza e della necessità del padre.'"
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","""In which battle, I always had the courage to reason about peace and always I was saddened that not only peace was despised,"""
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda è spesso temuta per la grande provvidenza di far paura, mentre la prima è per il coraggio che fa folli gli altri."
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Andò nel campo dei Cartaginesi e portò via l'intera legione con sé.
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.",'Non lo volle cognoscere per nimico.'
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","""Armi e insieme con loro passiamo tra i nemici, perciò se alcuno non avesse coraggio di questo e se avessero questo spirito."""
