Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra fu condotta bene, e l'opera fu compiuta come previsto. Inoltre, dall'altra parte Aiaces era un cavalieri franco e prodigo all'arma, di grande guisa, ma non era pieno di grande saggezza."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudele, e di tutte le colpe pigli vendetta come dice la legge, e a nessuno cavallo perdoni che pecca."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Ponzio Aufidiano non era dotato di altro vigore d’animo, romano cavaliere."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se il tempo ha bisogno di avere Pompeio come cavaliere e non come compagno, non resterò più felice."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Il fine di questa arte pare essere dichiarare apertamente per far credere, la sua stessa natura."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,Ecco e larghi ventipiovoli cadono delle risolute nebbie; e potresti credere che tutto il cielo cade nel mare.
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Chiunque spera che ciò che nessuno dei precedenti desidera ancora credere in Cristo, già lo hanno visto con noi, e perché non possono negare, urla di denti."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,I vendimenti dei morti e le pressioni dei vivi crearono la frode di un feroce re.
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Perché chiunque ora per la sua grande dignità sia feroz e onorabile, è afflitto di ogni male e tormentato dall'impietà verso il mio padre."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini spesso restano fermi nella bugia incontra la verità.
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, che aveva dieci compagni, si riservò di parlare all'ultimo."
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,Cosa sapevo che erano fatte in Italia.
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Corbio, nipote di Ortensio, trascorse la sua vita in modo più basso e più vizioso."
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Un altro amante, chiamando merzé alla sua donna, le dice parole e ragioni molte, e lei si difende nel suo dire."
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Ricordo ancora di quando ero arrabbiato e fuggi dalla mia moglie. Oh, quante giornate ho perso a causa di questa ira!"
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,Lui di cui tu ti solevi dolere perché era amante della tua donna.
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non sapevano già i nomi di coloro che erano nella congiurazione, perché la donna non li nominava già."
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Creti? Certo quando si mossevano, ti dicivano: ""Oh fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro ospite troiano""."
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano fu ripressa la malvagità di una donna in simile condizione, nel tempo medesimo di questo signore della Repubblica, in questo modo."
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","E lamentano l'iniquità di Appio, e ripianano la cattiva fortuna della fanciulla e la necessità del padre."
