Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quel' guerra è stata davvero efficace, perché... Tuttavia, dall'altra parte, Aiaces era un cavaliere franco e pittoresto, ma non era dotato di grande saggezza."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudele, come la legge prescrive, si prenda vendetta di tutte le colpe; nessuno cavaliero peccante è esento."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non fu d'altra forza d'animo quello che lo fece nato Ponzio Aufidiano, cavaliere romano."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se il tempo ha bisogno di avere Pompeio come cavallier, non lo riterrò più."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Il servizio di questa opera sembra essere affermarsi solo per far credere, e la sua fine è proprio far credere attraverso la parole."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,Ecco molti venti piovevoli caggiono delle nuvole ferme; e potresti credere che tutto il cielo cade nel mare.
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Chiunque ora spera che quelli che non vogliono ancora credere in Cristo già li hanno visto con noi, e non possono negarlo, fa rumore di denti."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,I vendimenti dei morti e la pressione dei vivi crearono la frode di un feroce re.
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Oggi, chi è arrogante e feroce per la sua grande dignità, è perseguitato da ogni male a causa della sua impietà verso il mio padre."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini spesso restano immobile nel proprio errore e incontra la verità.
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, che aveva dieci compagni, si riserva di parlare all'ultimo."
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,Que cosa sapevo che erano fatte in Italia.
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,Il corvo nipote di Ortensio trascorse la sua vita in modo basso e vizioso.
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Un'altra volta un amante chiamarono a metà della sua donna disse parole e ragioni tante, e lei si difese nel suo dire."
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Mi ricordo che, quando ero arrabbiato, scappai via la mia donna. Oh, quante giornate di ira mi hanno portato!"
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,Lui di cui tu ti solevi lamentar perché era l'amante della tua donna.
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Non sanno ancora i nomi di coloro che partecipano, perché la donna non li nominava già."
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Certo quando lui si mosse, disse: ""Oh mia fedele donna, facci che in mio luogo ti sia raccomandato il nostro ospite troiano""."
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano, la malvagità di una donna fu represa in un periodo simile a quello del signore della repubblica."
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","E lamentano l'ingiusta gestione di Appio, ritornano la scarsa intelligenza della fanciulla e la necessità del padre."
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","In quale battaglia, certo io ho sempre avuto l'ardire di ragionare di pace, e mi dolpi che non solo la pace era sfuggita."
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda [persona] talora fa paura per la grande dignità, mentre la prima [persona] per l'ardire rende gli altri matti."
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Si recò nel campo dei Cartaginesi e l'intera legione seguì dietro di lui.
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.",Non lo volle conoscere come un nemico. Questa è quella che diede coraggio al profeta Natan per riprendere con grande autorità quello re che aveva peccato.
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","L'armi e insieme con loro passarono tra i nemici, perché se qualcuno non avesse coraggio di questo e sì aveva questo animo."
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,Non ragionevolmente Iob viene interpretato come dolore.
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","Quello che sopra tutti gli altri perdona a tutti gli cittadini e a cui più sicuramente poteste credere, era il vostro comandatore."
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.",Invano si domanda chi questo libro scrivesse; con ciò sia cosa che fedelmente si deve credere che l'Autore fosse lo Spirito Santo.
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non fosse così saturo, ciò parebbe certo molto più incredibile: certo più agevolmente si può credere quello, visto che l'animo umano al divino e il mutabile allo incommutabile."
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,Che prendessero la paga dal camarlingo per la loro spesa e contemporaneamente andassero alla presenza di Messer lo Papa per contradurre il passaggio dei cavalieri che venivano da Cecilia in Toscana.
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste",Tesero chiese ad Achelao di spiegargli come perdeva.
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Ho molta speranza che il signor Iesù mandi presto a te Timoteo, perché io sono felice di cuore."
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,"Senso colpa, il maiale selvatico avanza l'uomo di udere e il lupo cerviere del vedere."
