Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra fu condotta bene e l'opera fu compiuta come previsto. Dall'altra parte, Aiace era un cavaliere franco e valoroso nel combattimento, in modo notevole, ma non era ricco di grande saggezza."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudele, si vendica di tutte le colpe come prescritto dalla legge, e non perdona a nessun cavaliere che pecca."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Ponzio Aufidiano, cavaliere romano, non era dotato di altro vigore d'animo."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","«Se questo è gradito a tutti e se il momento richiede un Pompeo come cavaliere e non come compagno, non considererò più la sorte.»

(Note: I've kept the translation as close as possible to the original meaning and syntax.)"
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Il fine è credere per dire, e pare che sia dirlo per farlo credere."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"«Sembra che tutta la volta precipiti sul mare, tanto fitte sono le nuvole.»

(Note: I tried to preserve the original meaning by conveying the idea that the clouds are so thick and heavy that it seems like the whole sky is about to fall into the sea.)"
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Però, visto che persino coloro che non vogliono ancora credere in Cristo possono già vedere ciò che noi facciamo, e poiché non possono smentire ciò che vedono, lo contestano con rabbia."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,"«Le trattative dei defunti e le pressioni dei viventi fecero il golpeggiamento di un crudele re.»

(Note: I tried to preserve the original meaning, assuming that ""frode"" is an archaic term for a kind of manipulation or trickery)"
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Affinché colui che attualmente per i suoi grandi peccati è crudele e nobile, egli sia travagliato da ogni male a causa dell'imperdonabile ingiustizia nei confronti del mio padre."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini frequentemente trovano la verità quando si fermano di mentire.
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, che era uno dei dieci compagni, si astenne deliberatamente dal parlare fino all'ultimo."
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,"«Cose che io sapevo essere state fatte in Italia.»

(Note: I preserved the original meaning by translating ""sapeva"" to ""sapevo"", since it's a past habitual tense, indicating something that was known or true at some point in the past)"
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,Ortensio's grandson Corbio trascinò la sua vita in modo più basso e più viziato.
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Altrettanto un innamorato chiamando la clemenza alla sua donna gli dice molte parole e motivi, e lei si difende con le sue parole."
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Here is the translation:

Mi ricordo che, essendomi infuriato, lasciai andare mia moglie. Oh, quante volte quest'ira mi tolse i giorni della mia vita!"
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,"Colui che aveva un rapporto speciale con la tua donna, e di cui tu ti lamentavi.

(Note: I tried to preserve the original meaning by translating ""t'ti solevi dolere"" as ""di cui tu ti lamentavi"", which means that the person was someone with whom you had a specific relationship, and you were complaining or unhappy about it. The phrase ""era amante della tua donna"" implies that this person was in love with your woman.)"
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non lo sapevano ancora i nomi di quelli della congiura, poiché la donna non li nominava ancora."
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","""Ma certo quando partì, mi disse: 'Oh, mia fida signora, chiedi al nostro ospite troiano che prendere il mio posto'"".

(Note: I've tried to preserve the original meaning and tone of the archaic Italian text, while translating it into modern Italian. The translation aims to convey the same sense of urgency and request for action as the original sentence.)"
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","«La malvagità di una donna fu punita per un'affermazione falsa a Milano nello stesso periodo in cui governava questa signoria della repubblica.»

Note: I tried to preserve the original meaning and tone of the archaic Italian text, while making it understandable in modern Italian."
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.",Si lamentavano per l'ingiustizia di Appio e si rammaricavano della sfortunata bellezza della fanciulla e dell'esigenza del padre.
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","In quel conflitto, sono stato sempre pronto a discutere sulla pace e ho sempre rincresciuto il fatto che la pace fosse stata oggetto di disprezzo."
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","«La seconda tendenza a volte genera paura a causa della grande provvidenza, mentre la prima rende folle gli altri grazie alla sua audacia.»"
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Entrò nel campo dei Cartaginesi e condusse con sé tutta la legione.
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.","Non lo volle conoscere come nemico. Questo è l'uomo che diede coraggio al profeta Nabuccodonosor per rimproverare quel re, il quale aveva commesso un grave peccato.

(Note: I've kept the original meaning and translated ""Natan"" to ""Nabuccodonosor"", as Natan is the biblical prophet mentioned in the passage, and Nabuccodonosor was a king of Babylon in the Old Testament.)"
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","«Le armi e i soldati hanno attraversato il campo nemico; perciò nessuno osava fare ciò e loro invece lo facevano con coraggio.»

(Note: I've tried to preserve the original meaning, but please keep in mind that the translation may not be perfect, as the archaic Italian sentence may have had nuances or idiomatic expressions that are difficult to translate directly into modern Italian.)"
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,"«Dov'è interpretata razionalmente, Job è considerato un uomo sofferente.»

Note: The translation aims to preserve the original meaning and sense of the archaic Italian sentence. The phrase ""ragionevolemente"" is often used in ancient Italian to mean ""reasonably"", ""rationally"", or ""in a logical manner""."
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","«Coloro che perdonassero ai cittadini più degli altri e in cui potresti avere maggior fiducia; dopodiché egli è stato il vostro condottiero.»

Note: I preserved the original meaning, trying to convey a sense of trust and authority, which is what the archaic sentence was conveying."
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","«Inutilmente si cerca conoscere l'autore di quel libro, poiché è vero crederlo scritto con fedeltà da parte dello Spirito Santo.»

(Note: I tried to preserve the original meaning and tone of the archaic Italian sentence.)"
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","«Se non fosse così comune, questo sembrerebbe assai meno credibile; invece è più facile crederlo, dato che lo spirito umano si rapporta al divino e il mutevole all'immutevole.»

(Note: I tried to preserve the original meaning and maintain a similar tone and style to the provided examples.)"
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,"«Che prendessero il salario dal camarlingo per la loro dispensa e subito andassero alla presenza di messer Papa per contrastare l'avanzata dei cavalieri che arrivavano dalla Cecilia in Toscana.»

Note: I tried to preserve the original meaning by translating ""prendessero la paga"" as ""prendessero il salario"", assuming that ""paga"" referred to a salary or payment, and not something else. Similarly, I translated ""dispensa"" as ""dispensa"" since it seems to refer to a personal allocation or allowance, rather than something else. Let me know if you have any further questions!"
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","«Teseo guardò Achelao con forte meraviglia e disse così: ""Signor Achelao, ti prego di dirmi come hai perso""»."
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Spero che Gesù mi aiuti a spedire presto Timoteo a te, in modo da mantenere il mio animo sereno."
