Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quell'invasione è stata ben eseguita, l'opera è compiuta perché... E dall'altra parte Aiaces era un nobile cavaliere franco e valoroso in battaglia, ma non era particolarmente dotato di grande intuito.

Translated sentence:

That invasion was well carried out, the deed is done because... And on the other side, Aiaces was a noble French knight and brave warrior, but he wasn't particularly endowed with great insight."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Cruel and avenging all the wrongs, as the law says, and forgive no knight who sins.

Note: I've preserved the original meaning, clarity, and syntactic coherence by translating ""pigli vendetta"" to ""avenging all the wrongs"", as ""vendetta"" in this context refers to taking revenge or punishment, rather than a literal ""taking vengeance""."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non c'era nessun'altra forza d'animo che rendesse più decoroso Ponzo Aufidiano, un nobile cavaliere romano.

Translated to contemporary Italian, this sentence means:

""There was no one else with a stronger spirit that made Ponzo Aufidiano more dignified, a noble Roman knight."""
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo ti piace a tutti e se il tempo ha bisogno di Pompeio come cavallo da guerra e non come amico, non mi rassegnerò più ai miei destini.

(Note: I've preserved the original meaning and tone of the text while translating it into contemporary Italian. The main changes are in the vocabulary and grammar to reflect modern language usage.)"
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","La funzione di questo linguaggio sembra essere quella di esprimersi in modo apparentemente spontaneo per convincere, e il fine è convincere attraverso l'espressione stessa.

(Note: I've taken into account the nuances of 13th-century Tuscan and tried to maintain the original meaning, clarity, and syntactic coherence while translating it into contemporary Italian. The translation is intended to convey the same message as the original text.)"
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Ecco quando grandi nuvole di nebbia si addensano in modo decisivo; è possibile pensare che tutta la volta del cielo si riversasse nel mare.

Translation note:

* ""ventipiovoli"" is an archaic expression meaning ""very large"" or ""immense"", which I translated to ""grandi nuvole"" (large clouds) to maintain the metaphorical connection with the weather.
* The original sentence's syntax and word order are preserved in the translation, as the expert linguist aims to keep the contemporary Italian sentence coherent and flowing like its 13th-century counterpart."
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Tuttavia, è impossibile che coloro che non credono ancora in Cristo possano nascondere ciò che ormai già vediamo insieme a loro, e quindi gridano con rabbia.

(Note: I've taken some liberties with the translation to make it more natural and idiomatic in contemporary Italian, while preserving the original meaning and spirit of the text.)"
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,"Gli abusi di potere dei defunti e le pressioni dei viventi hanno causato la corruzione di un re violento.

(Note: The original text is written in Old Tuscan, a dialect spoken in Tuscany during the 13th century. The translation aims to preserve the original meaning and tone while using contemporary Italian language structures and vocabulary.)"
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Affinché colui che, a causa delle sue grandi imperfezioni, è crudele e degno di rispetto, non rimanga oppresso da ogni tipo di mali e dolori causati dalla sua empietà nei confronti del mio padre.

(Note: I've used ""crudele"" instead of ""feroce"", as it better conveys the idea of being harsh or severe, rather than literally fierce. Also, ""impietà"" is a strong term that means blasphemy or sacrilegious act, so I've translated it to ""empiezza"", which is more common and still conveys the sense of disrespect.)"
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"Le persone spesso incontrano la verità stando fermi nel falso.

Translation notes:

* ""gli uomini"" is translated to ""le persone"" as the text refers to individuals in general, and ""persone"" is a more inclusive term.
* The phrase ""spessamente a stare"" is equivalent to ""spesso"" which means ""often"" or ""frequently"". In modern Italian, it's idiomatic to use this adverb with verbs like ""incontrare"" (to meet) or ""trovare"" (to find).
* ""bugia"" means ""falsehood"" or ""lie"", and ""verità"" means ""truth"".
* The sentence structure remains the same as in the original text, with a subject-verb-object word order."
